uen,name
200712761D,"*SCAPE CO., LTD."
T03SS0046H,"365 CANCER PREVENTION SOCIETY"
201022774G,"ABILITIES BEYOND LIMITATIONS AND EXPECTATIONS LIMITED"
197702012E,"ACADEMY OF MEDICINE SINGAPORE"
S80SS0046B,"Adventist Home for the Elders"
S97SS0048K,"Adventist Nursing and Rehabilitation Centre"
201006653E,"AIDHA LTD."
T00SS0163F,"Ain Society"
201427909W,"ALEXANDRA HEALTH FUND LIMITED"
200204369H,"ALIFE LTD."
T02SS0190K,"ALIVE COMMUNITY NETWORK"
S87SS0068F,"All Saints Home"
S91SS0018J,"Alzheimer's Disease Association"
201229817Z,"AMKFSC COMMUNITY SERVICES LTD."
200201385C,"ANG MO KIO - THYE HUA KWAN HOSPITAL LTD."
T00CC1416D,"ANG MO KIO-HOUGANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
T01SS0121K,"Animal Concerns Research and Education Society"
S89SS0091D,"Apex Day Rehabilitation Centre For Elderly"
S95SS0086F,"Apex Harmony Lodge"
201021661K,"ARC CHILDREN'S CENTRE CO LIMITED"
200304127K,"ART OUTREACH SINGAPORE LIMITED"
200210647W,"ARTS HOUSE LTD."
S94CC1034B,"ASIA PACIFIC BREWERIES FOUNDATION"
200500010H,"ASIAN FILM ARCHIVE"
200303941K,"ASIAN MEDICAL FOUNDATION LTD."
201208993Z,"ASSISI HOSPICE"
S75SS0058K,"Association for Persons with Special Needs"
199105100D,"ASSOCIATION OF MUSLIM PROFESSIONALS"
S85SS0089B,"Association of Women for Action And Research"
T09CC0004J,"ASSUMPTION PATHWAY SCHOOL"
S92SS0124D,"AUTISM ASSOCIATION (SINGAPORE)"
S99SS0148L,"Autism Resource Centre (Singapore)"
201500785Z,"AWWA LTD."
T11CC0008L,"AYER RAJAH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
201314611H,"BABES PREGNANCY CRISIS SUPPORT LTD."
T01SS0004H,"BARTLEY COMMUNITY CARE SERVICES"
S67SS0001J,"Basketball Association of Singapore"
T12SS0009G,"BEAUTIFUL MIND CHARITY"
201525056H,"BEAUTIFUL PEOPLE SG LTD."
S90CC0764J,"BEDOK CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
S88CC0571D,"BEDOK RESERVIOR-PUNGGOL CCC COMMUNITY DEVELOPMENT AND WELFARE FUND"
T04SS0113A,"Bethel Community Services"
S96SS0146D,"Bethesda Care and Counselling Services Centre"
S96SS0198K,"BETHESDA COMMUNITY ASSISTANCE AND RELATIONSHIP ENRICHMENT CENTRE"
